Word,Freq
garden,696
barton,102
whence,325
judge,957
parish,150
anxious,531
fail,407
cousin,481
especially,566
suffering,340
under,4350
unfeeling,21
nearer,287
connections,53
deliberation,62
inquiry,255
formed,568
county,237
distant,370
hours,1386
sufficient,402
objection,156
quit,169
evil,1139
object,787
blessing,282
comparison,113
misery,252
continuing,67
guest,148
inhabit,46
visit,970
wrote,644
sir,4835
middleton,109
acknowledgment,54
acceptance,55
hastened,163
shew,360
letters,793
distance,990
immediately,1103
head,4180
oppose,52
removing,60
scale,108
moderate,125
brought,3249
vicinity,100
dissuade,17
acquiescence,24
dispatched,29
indulged,95
announcing,31
incommode,3
ready,1474
inhabiting,4
civilly,13
hoped,362
replying,41
hastily,187
hearing,510
voice,2865
explanation,294
repeated,537
hence,330
explained,352
northward,78
exeter,34
difficulty,579
travelling,212
accommodating,13
concluded,240
resolve,104
unavoidable,22
smallest,124
effect,815
principally,55
tended,55
show,1180
totally,84
disregarded,29
disapprobation,14
match,313
told,3451
service,857
conscientiously,18
vexed,76
limited,145
performance,181
arrangement,155
impracticable,35
around,1781
water,3339
chiefly,159
consisted,144
household,269
pianoforte,18
packages,16
depart,260
sigh,250
feeling,1067
hard,1607
article,175
furnished,323
possession,609
arose,512
agreement,115
waited,601
determine,107
off,4960
west,760
rapid,203
interested,354
offering,880
disposing,18
agreed,357
sell,339
consulted,113
prevailed,172
wisdom,676
number,1479
maids,113
prepare,277
unknown,733
preferred,106
directly,335
visitor,247
undoubtingly,2
description,361
curiosity,403
examine,190
entered,1517
preserved,162
diminution,15
feebly,41
defer,29
departure,288
fulfilled,191
neglected,137
quitting,37
accomplishment,42
shortly,273
drift,93
discourse,121
extended,210
maintenance,41
six,1415
talked,463
increasing,115
demands,117
purse,145
calculation,48
stand,1454
design,300
abode,231
enable,161
begin,483
journey,891
tears,809
shed,262
adieus,5
wandered,154
evening,1594
cease,248
elsewhere,126
suffer,464
viewing,46
view,1119
ye,6143
trees,1160
continue,330
leaf,182
decay,69
removed,426
branch,334
become,1215
motionless,165
although,978
insensible,65
change,914
walk,1064
shade,265
remain,664
enjoy,358
tedious,81
drew,800
appearance,1026
country,2298
overcame,54
valley,446
fertile,60
wooded,38
pasture,129
winding,149
along,2162
mile,426
reached,1196
green,1154
court,847
demesne,1
front,1082
neat,143
wicket,12
gate,733
admitted,274
compact,45
defective,26
building,529
roof,354
tiled,8
window,1206
shutters,91
painted,203
walls,787
covered,865
honeysuckles,1
passage,679
through,5497
behind,1852
entrance,359
sitting,780
sixteen,160
feet,2406
square,496
offices,137
stairs,400
bed,1652
rooms,477
garrets,5
built,777
repair,89
recollection,134
dried,200
cheered,47
joy,1044
others,1789
appear,637
september,129
weather,527
impression,363
recommending,12
lasting,66
hills,488
rose,1307
downs,36
cultivated,101
woody,12
village,624
windows,494
commanded,790
surrounded,333
terminated,30
direction,765
name,3800
branched,10
steepest,3
size,446
satisfied,483
additions,29
indispensable,65
add,712
elegance,53
apartments,83
ourselves,574
tolerably,82
improvements,46
spring,576
plenty,366
parlors,7
collected,143
thoughts,841
throwing,240
remainder,83
chamber,423
garret,41
above,1866
snug,55
difficult,527
widen,7
hand,6105
accordingly,378
alterations,26
savings,27
wise,748
contented,144
busy,365
arranging,18
endeavoring,30
placing,94
possessions,57
unpacked,11
properly,158
affixed,11
employments,17
interrupted,270
landlord,179
welcome,309
theirs,87
formerly,206
visited,416
cousins,55
thoroughly,293
humoured,34
solicitude,60
sociable,24
cordially,44
dine,107
entreaties,50
perseverance,54
confined,173
hour,1989
basket,190
full,2347
stuff,208
fruit,651
followed,1277
insisted,206
moreover,533
conveying,37
denied,168
newspaper,169
message,310
denoting,11
waiting,770
polite,118
ladyship,119
depend,198
favourable,105
twenty,1928
tall,479
graceful,149
improved,117
share,480
frankness,48
detract,9
bred,109
reserved,120
remark,282
